,ABIERTA 1,ABIERTA_LIMPIADA,ABIERTA_LIMPIADA_TEXT,sentimiento,polaridad,subjetividad,categoria_sentimiento,cluster
0,HABER APRENDIDO A HACER COSAS DIFERENTES,"['haber', 'aprendido', 'hacer', 'diferentes']",haber aprendido hacer diferentes,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
1,Uno se siete mas servicial y mas independiente. con más autonomía. Me dejó contenta de aprender otras cosas. Son cosas super valiosas. Me encantó lo de primeros auxilios,"['siete', 'servicial', 'independiente', 'autonomía', 'dejó', 'contenta', 'aprender', 'super', 'valiosas', 'encantó', 'primeros', 'auxilios']",siete servicial independiente autonomía dejó contenta aprender super valiosas encantó primeros auxilios,"Sentiment(polarity=0.3333333333333333, subjectivity=0.6666666666666666)",0.3333333333,0.6666666667,Positivo,2
2,UNO VA APRENDIENDO CADA COSA QUE NOS ENSEÑA.,"['va', 'aprendiendo', 'cada', 'cosa', 'enseña']",va aprendiendo cada cosa enseña,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
3,NOS ENTREGAN LIBROS ESPECIALES Y CUADERNOS Y LE ENSEÑAN JARDINERIA,"['entregan', 'libros', 'especiales', 'cuadernos', 'enseñan', 'jardineria']",entregan libros especiales cuadernos enseñan jardineria,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
4,"CRECIMIENTO COMO PERSONA, UNO CRECE EN CONOCIMIENTO, EN AMISTADES EN TODO","['crecimiento', 'persona', 'crece', 'conocimiento', 'amistades']",crecimiento persona crece conocimiento amistades,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
5,"PARA MI FUE TODA UNA EXPERIENCIA NUEVA, BONITA OJALA PUEDA SEGUIR PARTICIPANDO, ME ENSEÑO A PREOCUPARME DE MI COMO PERSONA. ME HIZO ABRIR LOS OJOS SANTO TOMAS, ES UNA BENDICION CN NOTA DE DEL 1 AL 10 UN 10","['toda', 'experiencia', 'nueva', 'bonita', 'ojala', 'pueda', 'seguir', 'participando', 'enseño', 'preocuparme', 'persona', 'hizo', 'abrir', 'ojos', 'bendicion', 'cn', 'nota', '1', '10', '10']",toda experiencia nueva bonita ojala pueda seguir participando enseño preocuparme persona hizo abrir ojos bendicion cn nota 1 10 10,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
6,ME GUSTO TODO EL BENEFICIO QUE HUBO,"['gusto', 'beneficio']",gusto beneficio,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
7,HABER CONOCIDO UN PROFESOR,"['haber', 'conocido', 'profesor']",haber conocido profesor,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
8,"FUE UN GRAN APORTE, APRENDÍ HARTAS COSAS","['gran', 'aporte', 'aprendí', 'hartas']",gran aporte aprendí hartas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
9,"SIRVE PARA TRABAJAR INDEPENDIENTE, HAY MUCHOS ADULTO MAYORES QUE QUERIAN EMPRENDER Y TENEMOS EL TIEMPO, NO SABIAMOS COMO, NOS DIERON CHARLAS ERA PARA ESO.","['sirve', 'trabajar', 'independiente', 'adulto', 'mayores', 'querian', 'emprender', 'tiempo', 'sabiamos', 'dieron', 'charlas']",sirve trabajar independiente adulto mayores querian emprender tiempo sabiamos dieron charlas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
10,EL PODER DIALOGAR CON LOS ESTUDIANTES YA QUE ESTUVIERON ATENTOS A ESCUCHAR LO QUE ELLOS DECIAN,"['poder', 'dialogar', 'estudiantes', 'atentos', 'escuchar', 'decian']",poder dialogar estudiantes atentos escuchar decian,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
11,"ADQUIRIR NUEVOS CONOCIMIENTOS, AMISTADES Y FORMA DE ENFRENTAR LA VIDA","['adquirir', 'nuevos', 'conocimientos', 'amistades', 'forma', 'enfrentar', 'vida']",adquirir nuevos conocimientos amistades forma enfrentar vida,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
12,"QUE ESTO...  NOSOTROS ESTAMOS ENCERRADO EN LAS CASAS Y PARA VER MAS ALLA DE LAS PAREDES PARA TODO ADULTO MAYOR, Y ES MUY BUENO POR LO QUE YO HE PARTICIPADO","['encerrado', 'casas', 'ver', 'alla', 'paredes', 'adulto', 'mayor', 'bueno', 'participado']",encerrado casas ver alla paredes adulto mayor bueno participado,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
13,"SABER UTILIZAR LA TECNOLOGIA COMO TELEFONO ,REDES SOCIACIALES,ETC","['saber', 'utilizar', 'tecnologia', 'telefono', 'redes', 'sociacialesetc']",saber utilizar tecnologia telefono redes sociacialesetc,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
14,"SUPERARME APRENDER , CONOCIMIENTO, Y SEGURIDAD, CONFIANZA QUE SE CONTINUE CON LOS TALLERES , DAR GRACIAS A SANTO TOMAS POR PREOCUPARSE DE LOS ADULTOS MAYORES.","['superarme', 'aprender', 'conocimiento', 'seguridad', 'confianza', 'continue', 'talleres', 'dar', 'gracias', 'preocuparse', 'adultos', 'mayores']",superarme aprender conocimiento seguridad confianza continue talleres dar gracias preocuparse adultos mayores,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
15,ES BUENO TENGO MAS  CONOCIMIENTOS EN CASO DE QUERER TRABAJAR INDEPENDIENTE EN CASO DE TENER UNA PIME,"['bueno', 'conocimientos', 'caso', 'querer', 'trabajar', 'independiente', 'caso', 'tener', 'pime']",bueno conocimientos caso querer trabajar independiente caso tener pime,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
